ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
563,Audi A3 35 TDI Technology,Delhi,2017,51499.088693182915,Diesel,Automatic,Second,20.38,1968,143.0,5,22.5
3069,Audi A4 1.8 TFSI Technology Edition,Hyderabad,2012,56970.43729663454,Petrol,Automatic,First,15.64,1798,167.62,5,17.5
1545,Audi A4 2.0 TDI,Mumbai,2013,60804.859262004495,Diesel,Automatic,First,16.55,1968,147.51,5,13.5
2524,Audi A4 2.0 TDI,Kolkata,2009,80552.88793682493,Diesel,Automatic,First,16.55,1968,147.51,5,8.5
416,Audi A4 2.0 TDI 177 Premium Plus,Kolkata,2013,55904.072591619566,Diesel,Automatic,First,17.11,1968,174.33,5,14.5
4813,Audi A4 2.0 TDI Multitronic,Delhi,2010,77578.23740726523,Diesel,Automatic,First,16.55,1968,140.0,5,10.0
1776,Audi A4 3.0 TDI Quattro,Coimbatore,2015,60757.2679227218,Diesel,Automatic,First,14.94,2967,241.4,5,25.02
3278,Audi A4 35 TDI Technology,Hyderabad,2017,48315.028504583985,Diesel,Automatic,First,18.25,1968,187.74,5,43.0
304,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,55310.04538506456,Diesel,Automatic,First,17.68,1968,174.33,5,21.56
3613,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,54862.886081637815,Diesel,Automatic,First,17.68,1968,174.33,5,20.77
3499,Audi A6 2011-2015 2.0 TDI Technology,Kochi,2015,52620.15522219427,Diesel,Automatic,First,17.68,1968,174.33,5,26.78
3252,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,42931.654850281775,Diesel,Automatic,First,17.68,1968,174.33,5,39.58
386,Audi Q3 2.0 TDI,Hyderabad,2013,64738.61142157018,Diesel,Automatic,First,17.32,1968,150.0,5,19.0
805,Audi Q3 2.0 TDI,Bangalore,2014,51810.5074082762,Diesel,Automatic,First,15.73,1968,174.33,5,21.75
284,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Delhi,2013,53351.36796866916,Diesel,Automatic,Second,15.73,1968,174.33,5,14.5
3303,Audi Q3 2012-2015 35 TDI Quattro Premium,Mumbai,2015,44467.8963920176,Diesel,Automatic,First,15.73,1968,174.33,5,18.75
980,Audi Q5 30 TDI quattro Premium,Mumbai,2015,45386.010830776766,Diesel,Automatic,First,14.16,1968,174.3,5,25.49
382,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2014,76525.40154964104,Diesel,Automatic,First,12.07,2967,241.4,7,32.52
2122,Audi Q7 3.0 TDI Quattro Technology,Pune,2008,102173.95303014852,Diesel,Automatic,Second,12.07,2967,241.4,7,18.0
3339,Audi Q7 3.0 TDI Quattro Technology,Hyderabad,2012,90067.25422402844,Diesel,Automatic,First,12.07,2967,241.4,7,36.5
95,Audi Q7 35 TDI Quattro Technology,Bangalore,2015,82190.03204321675,Diesel,Automatic,Second,12.07,2967,241.4,7,52.5
2615,Audi Q7 4.2 TDI Quattro Technology,Coimbatore,2016,85988.44254895672,Diesel,Automatic,First,11.33,4134,335.2,7,48.91
4379,Audi TT 2.0 TFSI,Kochi,2014,19787.916445704177,Petrol,Automatic,First,9.9,1984,207.8,2,27.35
4942,BMW 1 Series 118d Sport Line,Hyderabad,2013,72157.39494975843,Diesel,Automatic,Second,20.58,1995,143.0,5,17.0
