ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand
4009,BMW X5 xDrive 30d M Sport,Chennai,2017,6500000,Diesel,Automatic,First,15.97,2993,258,5,65,BMW
1885,Skoda Octavia Ambition Plus 2.0 TDI AT,Kolkata,2014,775000,Diesel,Automatic,First,19.3,1968,141,5,7.5,Skoda
3928,Volkswagen Vento Diesel Highline,Chennai,2013,720000,Diesel,Manual,First,20.54,1598,103.6,5,5.9,Volkswagen
3946,Hyundai i10 Magna 1.2,Chennai,2009,620000,Petrol,Manual,First,20.36,1197,78.9,5,2.7,Hyundai
213,Honda City i VTEC SV,Kolkata,2015,480000,Petrol,Manual,First,17.4,1497,117.3,5,5,Honda
672,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Chennai,2015,480000,Diesel,Automatic,First,16.96,1968,138.03,5,13,Volkswagen
3263,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,2005,299322,Diesel,Manual,First,12.8,2494,102,8,4,Toyota
2509,Skoda Superb 1.8 TSI MT,Pune,2012,282000,Petrol,Manual,First,13.14,1798,160,5,3.3,Skoda
2797,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,4,Toyota
2838,Toyota Innova 2.5 GX (Diesel) 7 Seater,Pune,2009,255000,Diesel,Manual,Third,12.99,2494,100.6,7,6.5,Toyota
4702,Toyota Innova 2.5 G (Diesel) 8 Seater,Jaipur,2013,250000,Diesel,Manual,Second,12.99,2494,100.6,8,7.9,Toyota
187,Toyota Innova 2.5 GX (Diesel) 8 Seater,Chennai,2014,250000,Diesel,Manual,First,12.99,2494,100.6,8,10.9,Toyota
3295,Toyota Innova 2.5 GX 7 STR,Hyderabad,2010,250000,Diesel,Manual,Second,12.8,2494,102,7,6.5,Toyota
2831,Toyota Innova 2.5 V Diesel 7-seater,Chennai,2011,248000,Diesel,Manual,First,12.8,2494,102,7,9.2,Toyota
4444,Toyota Fortuner 3.0 Diesel,Chennai,2010,242000,Diesel,Manual,First,11.5,2982,171,7,11,Toyota
4029,Toyota Innova 2.5 G4 Diesel 8-seater,Chennai,2005,240000,Diesel,Manual,Fourth & Above,12.8,2494,102,8,5.1,Toyota
